analog_year,following_water_year,peak_swe,peak_day_of_water_year,april1_swe,days_peak_to_meltout,days_with_data,flow_max,flow_max_day_of_water_year,flow_mean
2004,2005,12.3000,212,10.4000,26,365,1010.0000,242,400.5507
2015,2016,13.0000,213,10.8000,35,366,1080.0000,257,465.5464
2010,2011,16.1000,207,14.3000,49,365,1350.0000,279,440.8795
2024,2025,10.0000,186,9.3000,56,364,734.0000,283,390.8630
2005,2006,15.6000,188,15.3000,50,365,1110.0000,282,420.2000
