water_year,distance,peak_swe,peak_day_of_water_year,april1_swe,days_peak_to_meltout,days_with_data,flow_max,flow_max_day_of_water_year,flow_mean
2002,1.7441,6.8000,177,6.6000,45,365,748.0000,243,399.4603
2022,2.5299,8.4000,199,7.6000,40,365,970.0000,336,422.2110
2018,2.5590,9.1000,202,6.3000,26,365,751.0000,350,381.7068
2023,2.8558,9.6000,205,9.1000,34,365,1090.0000,259,409.4411
2017,2.9010,9.8000,185,8.8000,53,365,1060.0000,265,434.0301
