model,train_regime,test_regime,train_years,test_years,excluded_rows,train_rows,test_rows,excursion_days,r2,rmse,mape,excursion_recall,excursion_precision
rf_grid,wet,dry,2023 2024 2025,2026,171,494,187,0,-3.490776,0.296747,0.124571,,0.000000
rf_grid,dry,wet,2026,2023 2024 2025,171,187,494,128,-0.533762,1.223270,0.217520,0.000000,
catboost,wet,dry,2023 2024 2025,2026,171,494,187,0,-2.718053,0.270012,0.108902,,
catboost,dry,wet,2026,2023 2024 2025,171,187,494,128,-0.472467,1.198577,0.205862,0.000000,
