DATE,TOC_mg_L,Alk_mg_L
4/2/2023,2.3,73.5
4/3/2023,2.3,71.5
4/4/2023,2.3,74.5
4/5/2023,2.2,75.5
4/6/2023,2.2,74.5
4/7/2023,2.2,75
4/8/2023,2.3,75.5
4/9/2023,2.2,74.5
4/10/2023,2.2,74.5
4/11/2023,2.2,70.5
4/12/2023,2.2,69.1
4/13/2023,2.2,70.2
4/14/2023,2.2,68.5
4/15/2023,2.3,67.5
4/16/2023,2.3,67
4/17/2023,2.3,67
4/18/2023,2.2,64.5
4/19/2023,2.3,62.5
4/20/2023,2.3,63
4/21/2023,2.2,61.5
4/22/2023,2,59.5
4/23/2023,2.2,59.5
4/24/2023,2.2,61
4/25/2023,2.1,62
4/26/2023,2.1,59.5
4/27/2023,2,61
4/28/2023,2,57.5
4/29/2023,2,56
4/30/2023,2,56
5/1/2023,2,56.5
5/2/2023,2,53
5/3/2023,2,55.5
5/4/2023,2.2,55.5
5/5/2023,2.2,53.5
5/6/2023,2.4,53
5/7/2023,2.5,52
5/8/2023,2.6,51.5
5/9/2023,2.6,50
5/10/2023,2.5,51
5/11/2023,2.5,51
5/12/2023,2.5,51
5/13/2023,2.6,49
5/14/2023,3.2,48.5
5/15/2023,6.5,47.5
5/16/2023,6.2,45
5/17/2023,6.9,44.5
5/18/2023,7.2,44
5/19/2023,7.3,43.5
5/20/2023,7.3,40.5
5/21/2023,7.1,39.3
5/22/2023,7.1,39.5
5/23/2023,7,39.25
5/24/2023,6.9,39.7
5/25/2023,6.8,39
5/26/2023,6.6,40.6
5/27/2023,6.5,42.5
5/28/2023,6.2,43.5
5/29/2023,5.8,46
5/30/2023,5.6,47.5
5/31/2023,5.2,51.7
6/1/2023,5.1,52.8
6/2/2023,4.5,53
6/3/2023,4.4,51.5
6/4/2023,4.1,51.5
6/5/2023,4.1,51
6/6/2023,3.95,48
6/7/2023,4,46.5
6/8/2023,4,48.5
6/9/2023,4,49.8
6/10/2023,4,43
6/11/2023,4,43.5
6/12/2023,4,45
6/13/2023,4,42.5
6/14/2023,3.8,46.5
6/15/2023,4,47.6
6/16/2023,3.9,47
6/17/2023,3.9,47.5
