DATE,TOC_mg_L,Alk_mg_L
4/14/2026,2.3,68.5
4/15/2026,2.3,73.2
4/16/2026,2.3,71.4
4/17/2026,2.7,71.1
4/18/2026,2.3,70
4/19/2026,2.2,69
4/20/2026,2.2,69.7
4/21/2026,2.2,69.6
4/22/2026,2.3,69.5
4/23/2026,2.3,70.5
4/24/2026,2.2,70.4
4/25/2026,2.3,71.9
4/26/2026,2.3,70.4
4/27/2026,2.2,70.9
4/28/2026,2.2,67
4/29/2026,2.3,67
4/30/2026,2.2,67.8
5/1/2026,2.2,67.2
5/2/2026,2.2,70
5/3/2026,2.1,70
5/4/2026,2.1,65.5
5/5/2026,2.1,68.75
5/6/2026,2.1,69
5/7/2026,2.1,68.3
5/8/2026,2.1,68.5
5/9/2026,2.2,68.5
5/10/2026,2.2,67.5
5/11/2026,2.1,66.5
5/12/2026,2.2,66
5/13/2026,2.2,63
5/14/2026,2.2,66
5/15/2026,2.3,63
5/16/2026,2.3,61
5/17/2026,2.4,61.5
5/18/2026,2.4,66.2
5/19/2026,2.2,67.8
5/20/2026,2.2,65.8
5/21/2026,2.2,64.4
5/22/2026,2.2,67.5
5/23/2026,2.2,64.2
5/24/2026,2.2,65.2
5/25/2026,2.2,65.4
5/26/2026,2.3,62.5
5/27/2026,2.3,62
5/28/2026,2.3,62
5/29/2026,2.3,59.5
5/30/2026,2.3,59.9
5/31/2026,2.3,59.1
6/1/2026,2.4,57.8
6/2/2026,2.4,60.25
6/3/2026,2.2,59.5
6/4/2026,2.3,59.8
6/5/2026,2.3,59.4
6/6/2026,2.3,63
6/7/2026,2.2,63.5
6/8/2026,2.2,61.4
6/9/2026,2.2,61.6
6/10/2026,2.2,62
6/11/2026,2.2,63
6/12/2026,2.2,62.5
6/13/2026,2.2,62.5
6/14/2026,2.2,63.6
6/15/2026,2.2,64
6/16/2026,2.3,67
6/17/2026,2.4,66.1
6/18/2026,2.2,65.5
6/19/2026,2.2,67.5
6/20/2026,2.3,63.5
6/21/2026,2.3,66
6/22/2026,2.2,68.8
6/23/2026,2.2,68.8
6/24/2026,2.2,69
6/25/2026,2.4,75.5
6/26/2026,2.4,70.5
6/27/2026,2.2,68.2
6/28/2026,2.2,67.4
6/29/2026,2.2,57.5
6/30/2026,2.2,52.5
7/1/2026,2.2,56
7/2/2026,2.1,55.8
7/3/2026,2.1,57.3
7/4/2026,2.1,59.5
7/5/2026,2.2,64
7/6/2026,2.2,63
7/7/2026,2.2,69.25
7/8/2026,2.2,66
7/9/2026,2.1,69
7/10/2026,2.2,67
7/11/2026,2.2,67.6
7/12/2026,2.2,67.2
7/13/2026,2.1,64.5
7/14/2026,2.1,61.5
7/15/2026,2.1,66.5
7/16/2026,2.2,64
7/17/2026,2.1,60.5
7/18/2026,2.1,63
7/19/2026,2.1,62
7/20/2026,2,63.3
7/21/2026,2,60.6
7/22/2026,2,61.3
7/23/2026,2,60.6
7/24/2026,2.1,58.6
7/25/2026,2.1,59
7/26/2026,2.1,58.9
7/27/2026,2,57.2
7/28/2026,2.4,58.5
7/29/2026,1.9,59.1
7/30/2026,2,56.3
7/31/2026,2,57.6
8/1/2026,2,59.8
8/2/2026,1.8,61.5
8/3/2026,1.9,58.5
8/4/2026,2,62.25
8/5/2026,2,57
8/6/2026,1.9,58.5
8/7/2026,1.9,61.5
8/8/2026,1.9,60.5
8/9/2026,2,60.5
8/10/2026,2,58
8/11/2026,2,62
8/12/2026,2,60.5
8/13/2026,2,59
8/14/2026,2,58
8/15/2026,2,58.5
8/16/2026,2.5,57
8/17/2026,2.5,59.5
8/18/2026,2.3,59
8/19/2026,2.2,56.8
8/20/2026,2.1,57
8/21/2026,2.2,57.5
8/22/2026,1.9,60.9
8/23/2026,1.9,61.3
